fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-r-007907-3-0038,1,No match,FALSE,,inf,355.0234354,-2.874702932,354.9096341,-2.75487336,FOVNotMatch,2009/1/16 1:37:56,SAT_26221,0.653928683,31.7079654,SAT_17722,1.501817356,33.10455464,SAT_28138,4.028494467,41.12816161
frame-r-007907-3-0039,1,No match,FALSE,,inf,355.2228834,-2.771148787,355.1694874,-2.71506161,FOVNotMatch,2009/1/16 1:38:32,SAT_25117,0.087558521,33.03667145,SAT_28138,3.259361046,40.8314351,SAT_11715,1.871323846,41.84106737
frame-r-007885-1-0068,1,Success,TRUE,SAT_20918,1.005275234,28.10616689,-7.746800949,28.19269904,-7.735607065,,2009/1/1 5:01:52,SAT_20918,1.018380122,1.005275234,SAT_21814,5.750251307,1.690964473,SAT_20168,3.630612842,1.915502558
frame-r-007885-1-0069,1,Success,TRUE,SAT_20918,1.110488363,28.25786651,-7.750947543,28.42142919,-7.729486104,,2009/1/1 5:02:28,SAT_20918,1.018380122,1.110488363,SAT_21814,5.750251307,1.796177602,SAT_20168,3.630612842,1.810289429
frame-r-007907-5-0174,1,Success,TRUE,SAT_14948,3.881465787,15.4146331,-2.016221966,15.45224312,-2.002143982,,2009/1/16 2:59:08,SAT_14948,0.041659811,3.881465787,SAT_15141,0.107609865,4.287514554,SAT_14943,4.18409553,4.92747007
frame-r-007907-6-0198,1,No match,FALSE,,inf,18.92643684,-1.356414652,19.04229543,-1.404466823,FOVNotMatch,2009/1/16 3:13:28,SAT_02220,5.884573587,21.9226304,SAT_02207,2.569289855,22.08374706,SAT_02216,1.011008531,22.1473845
frame-r-007907-1-0177,1,Success,TRUE,SAT_20918,0.299802988,15.75243752,-3.653122738,15.91578359,-3.636561257,,2009/1/16 3:00:56,SAT_20918,5.817781731,0.299802988,SAT_21136,4.993997966,0.617206622,SAT_32295,4.896039666,2.856830616
frame-r-007907-1-0178,1,Success,TRUE,SAT_21136,0.448686335,15.9025572,-3.666392425,16.06590882,-3.64934605,,2009/1/16 3:01:31,SAT_21136,4.993997966,0.448686335,SAT_20918,5.817781731,0.468323275,SAT_32295,4.896039666,2.68831033
frame-r-007907-1-0179,1,Success,TRUE,SAT_21136,0.458231426,16.11107036,-3.673392684,16.21607715,-3.66245259,,2009/1/16 3:02:07,SAT_21136,4.993997966,0.458231426,SAT_20918,5.817781731,0.458778185,SAT_32295,4.896039666,2.69785542
frame-r-007912-3-0059,1,No match,FALSE,,inf,344.8965888,16.07106425,344.934771,16.17062698,FOVNotMatch,2009/1/17 1:52:07,SAT_14735,1.118568276,12.26590899,SAT_10155,3.357923124,39.47674137,SAT_10291,0.006823118,53.15649134
frame-r-007912-6-0136,1,No match,FALSE,,inf,356.7024906,18.36239619,356.7494936,18.34842579,FOVNotMatch,2009/1/17 2:38:06,SAT_00227,1.715090128,5.791934962,SAT_01716,0.04867883,12.90587168,SAT_29285,2.43530269,24.26804
frame-r-007912-6-0137,1,No match,FALSE,,inf,356.9279794,18.40161135,357.0318191,18.37080781,FOVNotMatch,2009/1/17 2:38:42,SAT_00227,1.715090128,5.763040471,SAT_01716,0.04867883,12.87697719,SAT_29285,2.43530269,24.23914551
frame-r-007912-2-0159,1,No match,FALSE,,inf,0.484274538,16.61043494,0.539714529,16.70561597,FOVNotMatch,2009/1/17 2:51:50,SAT_29569,2.153255627,45.11441786,SAT_21229,3.73378892,45.87763204,SAT_29790,3.099865454,47.21154885
frame-r-007912-1-0164,1,No match,FALSE,,inf,1.208101147,16.34895691,1.16311317,16.36508502,FOVNotMatch,2009/1/17 2:54:49,SAT_18113,5.953803169,27.49265211,SAT_15762,5.679796526,27.7839258,SAT_21229,2.105250775,35.04903765
frame-r-007912-2-0190,1,No match,FALSE,,inf,5.304090739,16.66195845,5.331700202,16.71148628,FOVNotMatch,2009/1/17 3:10:20,SAT_21229,3.963058567,48.49647625,SAT_00871,2.268691476,48.70270588,SAT_00899,0.11366846,50.51611456
frame-r-007908-1-0030,1,No match,FALSE,,inf,26.25987482,-8.214010565,26.32903502,-8.242417947,FOVNotMatch,2009/1/16 3:43:45,SAT_11715,5.970721907,15.67064298,SAT_27402,4.392329604,17.80625882,SAT_02207,5.6171905,21.64081522
frame-r-007908-6-0031,1,No match,FALSE,,inf,26.303314,-5.961984153,26.32631929,-5.917568591,FOVNotMatch,2009/1/16 3:44:21,SAT_32026,1.370617382,9.039837488,SAT_16870,4.03101165,47.41257768,SAT_15581,5.161675804,47.89840248
frame-r-007908-1-0040,1,No match,FALSE,,inf,27.82873206,-8.169182897,27.92645319,-7.972354516,FOVNotMatch,2009/1/16 3:49:44,SAT_05265,1.606582712,36.96334251,SAT_06080,2.081601951,42.37608609,SAT_18718,4.207713601,50.04443986
frame-r-007908-2-0044,1,Success,TRUE,SAT_25968,3.336937162,28.51279982,-7.625506618,28.36184072,-7.516159994,,2009/1/16 3:52:07,SAT_25968,3.012265449,3.336937162,SAT_01477,5.750506533,10.66096162,SAT_28870,0.092229953,22.07463957
