fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-007907-3-0024,1,No match,FALSE,,inf,352.8107015,-2.778770391,352.9736356,-2.817898589,FOVNotMatch,2009/1/16 1:34:21.00,SAT_28138,4.028494467,8.13481999,SAT_11715,0.807704574,9.029883046,SAT_19455,3.725711702,10.97891322
frame-g-007881-3-0267,1,No match,FALSE,,inf,36.75282213,-4.571145336,36.9176221,-4.59163152,FOVNotMatch,2008/12/30 5:52:02.00,SAT_23754,2.695888989,7.146818465,SAT_25585,3.049455059,7.894866604,SAT_33059,3.162248707,8.06638229
frame-g-007881-3-0270,1,No match,FALSE,,inf,37.1995248,-4.474289649,37.36422616,-4.494375048,FOVNotMatch,2008/12/30 5:53:49.00,SAT_23754,2.695888989,7.012336622,SAT_25585,3.049455059,7.760384761,SAT_33059,3.162248707,7.931900447
frame-g-007881-3-0272,1,No match,FALSE,,inf,37.4970233,-4.409512185,37.66187471,-4.429579617,FOVNotMatch,2008/12/30 5:55:01.00,SAT_23754,2.695888989,6.999272467,SAT_25585,3.049455059,7.747320606,SAT_33059,3.162248707,7.918836292
frame-g-007881-4-0283,1,Success,TRUE,SAT_01317,4.64378285,39.13333027,-4.054397525,39.29826223,-4.073706247,,2008/12/30 6:01:35.00,SAT_01317,5.911243761,4.64378285,SAT_23754,2.84723744,6.73317276,SAT_25585,3.264710829,7.5031728
frame-g-007881-4-0285,1,Success,TRUE,SAT_01317,4.600699917,39.47233212,-3.994668764,39.59563278,-4.009011026,,2008/12/30 6:02:47.00,SAT_01317,5.911243761,4.600699917,SAT_23754,2.84723744,6.690089828,SAT_25585,3.264710829,7.460089868
frame-g-007885-6-0063,1,Success,TRUE,SAT_25667,1.818079808,27.24834996,-5.727987742,27.41356386,-5.749830088,,2009/1/1 5:03:39.00,SAT_25667,3.808379054,1.818079808,SAT_26110,5.787854446,5.716234834,SAT_02215,5.811594213,6.799698348
frame-g-007885-6-0065,1,Success,TRUE,SAT_25667,1.937325897,27.54596824,-5.658652058,27.7114211,-5.680180031,,2009/1/1 5:04:51.00,SAT_25667,3.808379054,1.937325897,SAT_26110,5.787854446,5.596988745,SAT_02215,5.811594213,6.680452259
frame-g-007885-6-0066,1,Success,TRUE,SAT_25667,2.022108737,27.79243142,-5.636457536,27.86029701,-5.645186708,,2009/1/1 5:05:27.00,SAT_25667,3.808379054,2.022108737,SAT_26110,5.787854446,5.512205906,SAT_02215,5.811594213,6.595669419
frame-g-007885-5-0046,1,Success,TRUE,SAT_25667,0.370803268,24.7139671,-6.318044754,24.87965985,-6.341385199,,2009/1/1 4:53:30.00,SAT_25667,3.657019467,0.370803268,SAT_26471,5.520374211,0.539848268,SAT_26110,4.357964305,6.633049156
frame-g-007885-5-0047,1,Success,TRUE,SAT_25667,0.353051531,24.86325376,-6.283416487,25.02879051,-6.30678852,,2009/1/1 4:54:06.00,SAT_25667,3.657019467,0.353051531,SAT_26471,5.520374211,0.522096532,SAT_26110,4.357964305,6.650800892
frame-g-007885-5-0050,1,Success,TRUE,SAT_25667,0.398038906,25.3108845,-6.179332762,25.47639274,-6.202573629,,2009/1/1 4:55:54.00,SAT_25667,3.657019467,0.398038906,SAT_26471,5.520374211,0.567083907,SAT_26110,4.357964305,6.605813517
frame-g-007885-5-0051,1,Success,TRUE,SAT_25667,0.569766525,25.58756667,-6.162660368,25.62564617,-6.16789211,,2009/1/1 4:56:29.00,SAT_25667,3.657019467,0.569766525,SAT_26471,5.520374211,0.738811526,SAT_26110,4.357964305,6.434085898
frame-g-007907-4-0081,1,No match,FALSE,,inf,1.356271655,-2.352705223,1.475621489,-2.263326263,FOVNotMatch,2009/1/16 2:08:23.00,SAT_25175,4.590446226,5.174589261,SAT_14948,3.522617003,20.13249102,SAT_15141,3.572659889,20.58177823
frame-g-007907-4-0128,1,Success,TRUE,SAT_24892,0.345212999,8.461909787,-2.3716634,8.562022456,-2.346962932,,2009/1/16 2:36:27.00,SAT_24892,3.937778191,0.345212999,SAT_30229,4.813802981,0.671694821,SAT_14913,2.784954188,0.709523094
frame-g-007907-1-0152,1,Success,TRUE,SAT_28138,4.816642131,12.00164129,-3.620286024,12.11968514,-3.653293185,,2009/1/16 2:50:47.00,SAT_28138,4.476028618,4.816642131,SAT_32501,4.998136105,7.161419289,SAT_11715,2.82946801,9.52536747
frame-g-007907-1-0153,1,Success,TRUE,SAT_28138,4.828678962,12.15139215,-3.576679399,12.31514205,-3.622505698,,2009/1/16 2:51:22.00,SAT_28138,4.476028618,4.828678962,SAT_32501,4.998136105,7.149382458,SAT_11715,2.82946801,9.537404301
frame-g-007907-1-0154,1,Success,TRUE,SAT_28138,4.799488331,12.30125765,-3.53310827,12.46484773,-3.578802311,,2009/1/16 2:51:58.00,SAT_28138,4.476028618,4.799488331,SAT_32501,4.998136105,7.178573089,SAT_11715,2.82946801,9.50821367
frame-g-007907-1-0155,1,Success,TRUE,SAT_28138,4.744917216,12.50859926,-3.505672128,12.6145623,-3.535162304,,2009/1/16 2:52:34.00,SAT_28138,4.476028618,4.744917216,SAT_32501,4.998136105,7.233144204,SAT_11715,2.82946801,9.453642555
frame-g-007907-2-0160,1,Success,TRUE,SAT_28138,4.203286505,13.19934781,-3.271700425,13.32172921,-3.305652197,,2009/1/16 2:55:33.00,SAT_28138,5.124751126,4.203286505,SAT_32501,5.492823726,7.596544284,SAT_11715,3.300497146,9.324053251
